county,FIPS,Latitude,Longitude,JanTmp,JulTmp,JanSun,JulSun,Elevtn,#mcd,T,U,S,totalpop,p1,p2,p3
SHERMAN    3,1163,412259,98960,223,758,174,343,2065,13,108.2803,107.2962,108.9313,4226,1698,465,453
SIOUX      3,1165,424124,103830,221,701,175,323,4850,6,98.6684,94.9985,99.0641,1845,724,545,225
STANTON    3,1167,419462,97197,204,752,175,353,1472,13,113.3661,108.8188,113.9467,6549,1887,1603,747
THAYER     3,1169,401763,97620,236,778,174,346,1458,13,112.2485,108.9633,113.9247,7582,1906,1266,702
THOMAS     3,1171,419577,100563,229,750,188,354,2705,3,93.1983,91.5735,93.1983,973,571,229,173
THURSTON   3,1173,421531,96545,188,751,175,353,1207,11,112.3555,105.9991,114.455,7186,1552,1444,1149
VALLEY     3,1175,415695,98951,222,752,174,343,1960,15,115.9397,115.4013,116.0894,5633,2978,615,556
WASHINGTON 3,1177,415268,96177,208,755,165,347,1115,7,121.4607,116.64,125.468,15508,3245,2241,2234
WAYNE      3,1179,422207,97069,190,750,175,353,1560,13,120.7574,116.0548,121.1946,9858,3116,2925,608
WEBSTER    3,1181,401819,98489,250,778,180,342,1720,8,108.6238,103.443,109.9715,4858,1300,1137,695
WHEELER    3,1183,418946,98533,205,742,188,354,2095,4,90.8732,86.2205,91.4504,1060,394,329,180
YORK       3,1185,408664,97603,234,772,165,347,1633,17,129.4161,129.1495,129.6482,14798,7723,1373,601
CHURCHILL  3,2001,394912,118759,315,730,200,419,3965,1,137.6456,137.6456,137.6456,13917,13917,0,0
CLARK      3,2003,361613,115121,442,896,244,383,2162,11,184.5192,184.191,184.5253,463087,350511,71605,24334
DOUGLAS    3,2005,389527,119822,306,685,200,419,4720,2,138.7684,137.7859,138.7684,19421,14053,5368,0
ELKO       3,2007,409737,115657,232,695,150,369,5075,8,135.052,134.7649,135.176,17269,11398,1907,1280
ESMERALDA  3,2009,377423,117585,302,730,239,392,5426,1,96.0177,96.0177,96.0177,777,777,0,0
EUREKA     3,2011,400288,116157,232,695,150,369,5075,2,98.0193,96.4024,98.0193,1198,798,400,0
HUMBOLDT   3,2013,411430,117749,282,710,200,419,4301,4,128.4218,128.1558,128.4327,9434,7209,1159,780
LANDER     3,2015,404721,116939,296,700,150,369,6605,2,118.4,118.2972,118.4,4076,3640,436,0
LINCOLN    3,2017,376950,114597,315,760,239,392,4402,4,107.6048,101.3699,108.8653,3732,1126,1054,794
LYON       3,2019,391021,119203,317,711,200,419,4375,4,128.6482,123.0207,128.742,13594,5050,4376,3315
MINERAL    3,2021,385499,118583,329,780,239,392,4552,3,123.497,123.3483,123.497,6217,5166,567,484
NYE        3,2023,376984,116983,302,730,239,392,5426,5,121.7707,117.83,122.1511,9048,3524,2680,1358
PERSHING   3,2027,402689,118413,300,752,200,419,4260,1,117.3471,117.3471,117.3471,3408,3408,0,0
STOREY     3,2029,394552,119521,328,697,200,419,4651,1,105.5363,105.5363,105.5363,1503,1503,0,0
WASHOE     3,2031,395284,119801,319,693,200,419,4404,5,171.7024,170.6951,171.7029,193623,137542,53230,1256
WHITE PINE 3,2033,392814,114864,236,672,150,369,6253,3,128.9373,128.9159,128.9374,8167,7599,356,212
CARSONCITY 3,2510,391490,119782,328,697,200,419,4651,1,149.6678,149.6678,149.6678,32022,32022,0,0
BELKNAP    3,3001,435303,71470,204,703,140,290,560,11,140.4975,139.2694,141.6041,42884,15575,4841,4646
CARROLL    3,3003,438227,71173,204,703,140,290,560,19,130.6127,128.0534,132.4336,27931,7158,3968,2465
CHESHIRE   3,3005,429070,72276,220,702,140,290,490,23,144.5705,143.8862,145.5476,62116,21449,5183,4349
COOS       3,3007,445316,71323,160,633,115,219,1100,43,137.6497,136.7552,138.4057,35147,13084,3401,3322
GRAFTON    3,3009,438544,71976,181,691,140,290,603,40,139.1323,134.4268,141.3389,65806,11134,9119,5558
HILLSBOROU 3,3011,428898,71517,222,700,140,290,170,31,168.051,164.7256,168.4506,276608,90936,67865,15406
MERRIMACK  3,3013,432499,71581,206,697,140,290,346,27,149.7691,148.9178,150.7702,98302,30400,7901,7303
ROCKINGHAM 3,3015,429490,71038,213,689,140,290,250,37,153.0001,146.8025,155.676,190345,26254,24124,18875
STRAFFORD  3,3017,432426,70934,228,692,140,290,70,13,150.0354,144.4973,151.0874,85408,22377,21560,10652
SULLIVAN   3,3019,433211,72287,181,691,140,290,786,15,140.0477,138.2943,140.4103,36063,14557,6229,4417
ATLANTIC   3,4001,394119,74555,348,743,154,309,11,23,155.0821,152.9487,157.9293,194119,40199,19381,13435
BERGEN     3,4003,409180,74059,303,759,153,298,100,70,159.2546,152.5145,169.1772,845385,39007,36039,32449
BURLINGTON 3,4005,400015,74821,330,773,151,295,12,40,157.263,152.8453,162.4108,362542,39912,29720,21508
CAMDEN     3,4007,398885,75048,323,768,151,295,5,37,168.5133,163.7365,170.2539,471650,84910,68785,45156
CAPE MAY   3,4009,390895,74796,327,751,154,309,30,16,145.9976,140.6213,147.7585,82266,17105,13949,11373
CUMBERLAND 3,4011,394350,75100,332,760,151,295,68,14,159.2268,157.1406,159.5161,132866,53753,24815,18795
ESSEX      3,4013,407650,74214,314,764,153,298,11,22,183.9135,183.2882,184.5588,851116,329248,77690,61493
GLOUCESTER 3,4015,397500,75170,324,757,151,295,135,24,153.7123,147.6684,157.4098,199917,27878,23473,21639
HUDSON     3,4017,407384,74065,310,748,153,298,135,12,178.6876,177.7012,179.5635,556972,223532,65047,55593
HUNTERDON  3,4019,405692,74907,292,745,153,298,140,26,139.2084,134.0607,143.6508,87361,10855,8292,7345
MERCER     3,4021,402488,74720,321,759,151,295,56,13,169.7335,164.9129,170.3179,307863,92124,82801,34842
MIDDLESEX  3,4023,405048,74371,312,749,151,295,125,25,169.3475,164.5882,172.9753,595893,90074,70193,51515
MONMOUTH   3,4025,403019,74113,313,745,151,295,194,53,161.9259,159.3328,166.5945,503173,62574,29819,28366
MORRIS     3,4027,408607,74477,276,725,153,298,280,39,157.9605,156.0583,163.5561,407630,49868,19850,18878
OCEAN      3,4029,399894,74192,313,745,151,295,10,33,164.9325,159.76,167.0755,346038,64455,53629,38464
PASSAIC    3,4031,409221,74189,303,759,153,298,100,16,173.3466,170.74,174.3257,447585,137970,74388,52463
SALEM      3,4033,396333,75402,320,758,151,295,74,15,141.0544,137.5739,143.7109,64676,13848,8396,6959
SOMERSET   3,4035,405773,74562,298,745,153,298,160,21,155.173,149.3655,158.4593,203129,31358,29175,19108
SUSSEX     3,4037,410691,74670,252,717,153,298,565,24,146.7549,139.9276,149.622,116119,16302,15531,13333
UNION      3,4039,406594,74297,316,755,153,298,40,21,169.429,166.9644,171.9393,504094,106201,50184,45555
WARREN     3,4041,407733,75043,297,744,153,298,180,23,142.8188,140.2297,145.4654,84429,16647,8850,6429
BERNALILLO 3,5001,350927,106602,352,787,233,336,5311,4,186.4406,186.4382,186.4407,419700,409589,7360,1872
CATRON     3,5003,338803,108561,307,675,258,354,6879,2,109.5115,107.2451,109.5115,2720,1692,1028,0
CHAVES     3,5005,333595,104509,381,792,246,335,3649,7,153.0998,153.0121,153.1314,51103,40376,4018,1951
COLFAX     3,5007,367180,104545,291,722,202,292,6427,3,132.1489,131.1374,132.1489,13667,8864,2784,2019
CURRY      3,5009,344118,103232,372,776,211,306,4280,3,153.0465,153.0403,153.0466,42019,40455,1095,469
DE BACA    3,5011,344360,104248,385,788,246,335,4030,2,111.3988,111.3378,111.3988,2454,2247,207,0
DONA ANA   3,5013,323060,106724,417,800,246,353,3881,7,159.2036,158.793,159.3373,96340,60276,10991,9594
EDDY       3,5015,325494,104290,427,813,246,335,3120,4,150.7111,149.3622,150.7123,47855,31351,14077,1984
GRANT      3,5017,327987,108230,371,724,258,354,6142,7,138.566,137.7108,138.8198,26204,13980,3974,2968
GUADALUPE  3,5019,349059,104827,388,774,246,335,4620,3,116.568,115.7932,116.568,4496,3060,842,594
HARDING    3,5021,359053,104008,330,731,211,306,5485,2,98.6477,98.392,98.6477,1090,916,174,0
HIDALGO    3,5023,322951,108745,410,789,246,353,4495,2,122.5839,122.0274,122.5839,6049,4714,1335,0
LEA        3,5025,327270,103204,422,801,246,335,3615,5,151.9759,151.0865,152.0426,55993,35331,12318,3476
LINCOLN    3,5027,335077,105575,362,759,233,336,5438,5,127.2585,126.3844,127.4168,10997,6376,1749,1476
LOS ALAMOS 3,5028,358748,106283,291,685,202,292,7410,2,136.4848,134.3032,136.4848,17599,11039,6560,0
LUNA       3,5029,322389,107750,409,807,246,353,4332,2,136.7688,136.4341,136.7688,15585,12796,2789,0
MCKINLEY   3,5031,355074,108619,303,714,183,341,6440,4,150.1282,148.7243,150.432,56449,29995,10598,8999
MORA       3,5033,360217,105159,307,686,202,292,6300,2,116.7075,115.7365,116.7075,4205,3048,1157,0
OTERO      3,5035,329255,105954,393,806,246,353,3995,4,151.251,151.102,151.2759,44665,35369,3938,3257
QUAY       3,5037,351624,103660,384,787,211,306,4096,4,130.4012,130.2375,130.4254,10577,8328,1024,737
RIO ARRIBA 3,5039,362182,106259,226,645,202,292,7850,11,131.8285,125.859,133.7875,29282,6148,5039,4825
ROOSEVELT  3,5041,341595,103370,378,776,211,306,4010,3,137.3761,137.2835,137.3761,15695,13572,1313,810
SANDOVAL   3,5043,354932,106650,291,685,202,292,7410,4,144.7184,144.0301,144.8977,34799,21664,5653,3877
SAN JUAN   3,5045,366952,108275,286,750,183,341,5395,7,153.7655,152.2754,154.1832,81433,38366,14454,11350
SAN MIGUEL 3,5047,355873,105263,312,683,202,292,6857,5,141.6124,141.4267,141.6167,22751,18087,2472,1556
SANTA FE   3,5049,356907,105960,298,704,202,292,7200,3,157.5207,156.8934,157.5207,75360,52840,11491,11029
SIERRA     3,5051,331073,107297,400,793,233,336,4820,2,127.5925,127.121,127.5925,8454,6710,1744,0
SOCORRO    3,5053,341033,106941,373,784,233,336,4585,3,133.2093,132.7554,133.2094,12566,9916,2524,126
TAOS       3,5055,364426,105568,219,658,202,292,6945,7,132.4092,131.2137,133.0261,19456,8911,3007,2296
TORRANCE   3,5057,347204,106066,309,710,239,336,6520,3,124.1011,123.0521,124.1011,7491,5061,1942,488
UNION      3,5059,364499,103267,331,736,211,306,4970,2,119.1032,118.5876,119.1032,4725,3714,1011,0
VALENCIA   3,5061,349171,107263,352,787,233,336,5311,6,150.1521,145.7595,150.2966,61115,24423,19131,11582
ALBANY     3,6001,426779,73800,215,720,135,293,275,13,169.7591,166.3434,170.2713,285909,101727,74593,26515
ALLEGANY   3,6003,422212,78011,228,677,110,306,1420,30,134.4891,130.7982,137.1286,51742,8658,6191,3428
BROOME     3,6007,421172,75937,220,691,110,306,1590,17,164.1216,159.0075,164.5323,213648,61179,55860,27238
CATTARAUGU 3,6009,422038,78601,222,668,110,306,1575,37,143.7787,141.5221,145.3911,85697,18207,8619,6890
CAYUGA     3,6011,429372,76567,242,713,102,304,715,24,150.1094,149.9028,150.6423,79894,32548,4212,3612
CHAUTAUQUA 3,6013,422408,79307,248,698,109,324,1390,30,153.4781,151.2666,154.9819,146925,35775,15310,14992
CHEMUNG    3,6015,421143,76814,250,708,110,306,880,12,153.6938,151.0848,154.2908,97656,35327,20238,11586
CHENANGO   3,6017,424823,75563,229,700,110,306,1015,22,133.8525,129.805,137.5412,49344,8082,5729,4042
CLINTON    3,6019,447286,73535,168,703,126,310,170,15,147.3779,143.6201,148.6082,80750,21057,16384,5889
COLUMBIA   3,6021,422771,73685,238,731,135,293,19,19,136.2405,129.6326,140.0032,59487,7986,7674,6061
CORTLAND   3,6023,425993,76148,218,693,110,306,1129,16,144.7413,142.9763,144.9815,48820,20138,8299,6599
DELAWARE   3,6025,422354,75013,223,681,110,306,1350,19,133.5077,127.4315,136.7688,46824,6856,5839,5295
DUTCHESS   3,6027,416893,73843,265,746,135,293,103,22,157.8013,152.7135,160.9431,245055,39549,29757,26776
ERIE       3,6029,428926,78808,237,701,109,324,705,30,185.72,184.4908,186.5211,1015472,357870,109442,108706
ESSEX      3,6031,441431,73637,168,698,126,310,332,18,132.8395,126.8759,134.6971,36176,6597,5436,5139
FRANKLIN   3,6033,446767,74346,165,675,101,312,1060,20,137.8217,134.6097,138.972,44929,11276,6318,5604
FULTON     3,6035,430561,74334,208,700,102,304,760,12,143.7408,141.225,144.8166,55153,17836,9360,6719
GENESEE    3,6037,429999,78171,235,697,109,324,900,15,142.3974,140.2782,143.7787,59400,16703,8019,5565
GREENE     3,6039,422863,73966,238,731,135,293,19,14,137.4976,134.8344,139.0225,40861,11453,6018,4729
HAMILTON   3,6041,436722,74393,146,636,102,308,1660,9,108.8982,104.6148,110.2227,5034,1410,935,859
HERKIMER   3,6043,430654,74984,195,693,102,304,900,20,142.9685,138.7085,144.4588,66714,14981,11027,7686
JEFFERSON  3,6045,440054,75902,188,705,109,324,497,23,148.239,147.6596,149.4441,88151,27861,6227,5113
LEWIS      3,6049,437930,75459,177,683,102,308,960,17,125.2833,121.5956,128.8696,25035,4575,2824,2448
LIVINGSTON 3,6051,427627,77766,238,705,102,304,902,17,135.7732,130.8232,140.0991,57006,8673,6185,5994
MADISON    3,6053,429905,75716,188,668,110,306,1300,16,142.2865,137.0682,144.37,65150,13371,10810,8539
MONROE     3,6055,431626,77617,240,712,109,324,547,20,179.9645,178.831,180.8398,702238,241741,81367,57648
MONTGOMERY 3,6057,429370,74328,208,700,102,304,760,11,144.956,144.168,145.7656,53439,21872,5721,4743
NASSAU     3,6059,407159,73598,318,752,151,300,128,5,196.6043,194.9427,196.6228,1321582,738517,305750,218624
NEW YORK   3,6061,407219,73951,322,766,151,300,132,1,204.4585,204.4585,204.4585,1428285,1428285,0,0
NIAGARA    3,6063,431356,78873,241,707,109,324,520,17,163.5149,161.2331,164.4023,227354,71384,35760,24844
ONEIDA     3,6065,431431,75346,170,659,102,304,560,29,164.571,162.0671,165.3185,253466,75632,43826,21286
ONONDAGA   3,6067,430581,76163,236,715,102,304,410,21,174.7363,173.7607,175.5371,463920,170105,52838,37400
ONTARIO    3,6069,428872,77210,243,714,102,304,718,18,143.205,138.8541,146.7394,88909,15133,10419,9002
ORANGE     3,6071,414319,74225,270,747,135,293,320,23,152.5404,145.1656,159.7127,259603,23438,22747,21454
ORLEANS    3,6073,432457,78237,240,712,109,324,547,10,134.3857,128.2933,137.1982,38496,7278,6446,5361
OSWEGO     3,6075,433927,76334,241,702,109,324,350,24,146.1907,142.727,149.3909,113901,19793,13312,8016
OTSEGO     3,6077,425581,75057,213,684,110,306,1240,25,139.7925,138.6622,141.5722,59075,14933,4655,4020
PUTNAM     3,6079,414060,73729,270,747,135,293,320,6,149.9478,147.7046,151.2856,77193,27948,12433,11416
RENSSELAER 3,6083,427067,73638,215,720,135,293,275,16,158.5304,157.8948,159.5367,151966,56638,12913,11345
ROCKLAND   3,6087,411226,74012,270,747,135,293,320,5,169.5932,164.4249,170.101,259530,89060,77091,48612
ST. LAWREN 3,6089,446612,75142,163,699,101,312,285,33,146.6727,140.8771,149.3685,114254,17411,14856,12375
SARATOGA   3,6091,430176,73777,204,712,135,293,390,21,151.4498,145.5009,154.3879,153759,23989,23906,12876
SCHENECTAD 3,6093,428102,73943,218,729,135,293,225,6,162.7645,160.5265,163.1337,149946,67972,29451,28519
SCHOHARIE  3,6095,426494,74436,213,684,110,306,1240,16,130.1172,127.83,132.3504,29710,7048,3107,2980
SCHUYLER   3,6097,423840,76862,230,694,102,304,960,8,125.9554,120.1472,127.8305,17686,4138,3793,2607
SENECA     3,6099,428284,76825,243,714,102,304,718,11,136.765,132.7117,137.7386,33733,9886,7811,3561
STEUBEN    3,6101,422615,77316,242,694,110,306,1000,34,143.2807,136.61,146.1799,99217,12953,12268,10234
SUFFOLK    3,6103,408107,73172,301,723,151,300,55,12,189.7041,184.7679,191.1159,1284231,364812,298897,203483
SULLIVAN   3,6105,417246,74737,263,726,110,306,470,15,142.4777,137.2601,144.5279,65155,13550,9879,9862
TIOGA      3,6107,421137,76295,220,691,110,306,1590,9,144.7755,143.2129,145.4365,49812,20471,8784,4919
TOMPKINS   3,6109,424609,76478,230,694,102,304,960,10,150.98,148.1037,151.8451,87085,28732,16022,12156
ULSTER     3,6111,418662,74086,265,746,135,293,103,21,150.1102,145.7937,153.9581,158158,24481,17975,12956
WARREN     3,6113,433970,73686,204,712,126,310,390,12,146.124,142.1204,146.5462,54854,18978,15897,3810
WASHINGTON 3,6115,432934,73464,204,712,135,293,390,17,138.1916,135.0928,140.8889,54795,11660,6479,5566
WAYNE      3,6117,431381,77093,251,711,109,324,420,15,142.2071,138.4323,146.2756,84581,14697,9485,7652
WESTCHESTE 3,6119,410237,73808,270,747,135,293,320,25,177.7122,175.7571,179.8588,866599,195351,82881,70794
WYOMING    3,6121,427227,78198,238,705,102,304,902,16,131.9317,124.7497,135.4472,39895,5693,5437,5074
YATES      3,6123,426366,77069,256,722,102,304,720,9,130.1814,127.1682,131.2702,21459,6732,3908,2868
ALAMANCE   3,7001,360848,79417,387,772,158,275,656,13,152.0905,149.0252,152.8949,99319,30627,17651,13606
ALEXANDER  3,7003,359046,81190,404,756,176,270,1294,8,134.1277,130.0123,134.8577,24999,8199,6209,3627
ALLEGHANY  3,7005,365005,81108,383,758,174,275,2940,7,121.3055,118.2972,121.8322,9587,3640,2321,1212
ANSON      3,7007,349790,80095,425,789,175,298,423,8,135.4104,134.0315,136.1086,25649,10833,3864,3129
ASHE       3,7009,364295,81493,337,682,174,275,2900,19,124.3236,118.8111,126.8154,22325,3772,3625,1784
AVERY      3,7011,360903,81939,337,682,174,275,3360,8,124.079,120.8945,125.7148,14409,4358,2369,2220
BEAUFORT   3,7013,355212,76918,423,794,172,278,30,6,139.8736,136.5553,141.4787,40355,12904,7636,6241
BERTIE     3,7015,360970,76966,425,790,172,278,20,9,129.8705,126.8584,130.9927,21024,6589,3981,2579
BLADEN     3,7017,345946,78637,456,791,180,282,60,15,130.6593,125.4545,132.7897,30491,5978,4947,3650
BRUNSWICK  3,7019,340462,78232,470,798,180,282,20,6,136.7379,130.2877,139.1839,35777,8357,7361,6838
BUNCOMBE   3,7021,355915,82550,379,735,171,279,2140,15,161.5679,161.1327,162.2154,160934,70889,12525,12475
BURKE      3,7023,357346,81641,408,764,171,279,1160,13,148.1859,145.5507,149.227,72504,24072,13791,8083
CABARRUS   3,7025,354276,80590,414,788,175,298,690,12,151.0524,148.5467,151.8655,85895,29628,16942,8806
CALDWELL   3,7027,358890,81515,404,756,174,275,1294,13,145.9477,141.946,147.5403,67746,18750,12061,10734
CAMDEN     3,7029,363669,76175,423,788,172,278,8,3,117.2143,110.1262,117.2143,5829,2066,2046,1717
CARTERET   3,7031,347543,76726,450,796,172,278,12,16,141.4573,139.4791,142.0414,41092,15803,6992,5469
CASWELL    3,7033,364081,79349,401,777,158,275,890,9,123.4165,117.0217,128.0554,20705,3332,2893,2733
CATAWBA    3,7035,356999,81256,391,763,176,270,1165,8,157.6316,155.5252,157.8162,105208,48059,24708,13144
CHATHAM    3,7037,357085,79303,397,769,176,270,625,13,133.2755,130.977,135.4241,33415,8766,4286,3235
CHEROKEE   3,7039,351232,84000,371,728,171,279,1827,6,132.9748,129.3572,133.2323,18933,7835,5994,2012
CHOWAN     3,7041,361108,76616,425,790,172,278,20,4,130.1897,129.2741,130.2772,12558,7790,2557,1294
CLAY       3,7043,350422,83796,371,728,171,279,1827,6,115.2717,113.0035,116.3522,6619,2522,1196,959
CLEVELAND  3,7045,352982,81518,403,779,175,298,920,11,151.3867,149.3498,152.0848,83435,31324,16368,7227
COLUMBUS   3,7047,342875,78717,464,804,180,282,28,15,136.8652,133.4249,139.6038,51037,10387,6202,5241
CRAVEN     3,7049,350585,77033,450,796,172,278,12,8,150.3528,145.8901,150.8103,71043,24645,21963,6149
CUMBERLAND 3,7051,350856,78931,430,796,180,282,96,11,165.7683,160.5051,166.7559,247160,67871,59507,37520
CURRITUCK  3,7053,363820,75978,423,788,172,278,8,4,125.3184,119.5638,125.4853,11089,3974,3114,3095
DARE       3,7055,357666,75675,450,785,172,278,2,6,127.3414,122.7932,127.5927,13377,4971,3737,2783
DAVIDSON   3,7057,358431,80193,420,795,176,270,810,17,153.7734,148.7934,154.601,113162,30139,28860,8392
DAVIE      3,7059,359109,80537,404,771,176,270,814,7,133.1422,127.3661,134.014,24599,6825,6236,4275
DUPLIN     3,7061,349230,77954,446,787,180,282,50,13,134.3752,129.2574,137.1294,40952,7781,5783,5394
DURHAM     3,7063,359998,78902,409,779,158,275,406,6,167.3222,167.0498,167.4147,152785,106832,16616,12772
EDGECOMBE  3,7065,359091,77652,416,795,172,278,35,14,146.5523,143.3971,146.87,55988,20734,15010,3253
FORSYTH    3,7067,361096,80253,387,772,158,275,897,14,170.2596,170.0892,170.5371,243683,131885,15459,13296
FRANKLIN   3,7069,360822,78301,394,782,158,275,260,10,133.621,128.6361,135.0089,30055,7453,6260,4016
GASTON     3,7071,352765,81162,429,791,175,298,830,6,162.8325,161.0237,163.4683,162568,70355,33394,17193
GATES      3,7073,364506,76701,423,788,172,278,8,7,113.9228,108.1938,117.5148,8875,1807,1472,1339
GRAHAM     3,7075,353293,83804,371,728,171,279,35,3,124.755,124.445,124.755,7217,5574,907,736
GRANVILLE  3,7077,362683,78648,386,772,158,275,330,9,136.5248,130.5816,137.5442,34043,8529,6830,6813
GREENE     3,7079,354752,77667,427,798,172,278,82,9,122.2867,116.8694,125.1392,16117,3297,2527,2404
GUILFORD   3,7081,360476,79848,387,772,158,275,897,18,170.2157,166.3937,170.5124,317154,102082,66422,53560
HALIFAX    3,7083,363277,77650,405,792,172,278,81,12,144.5231,143.1203,145.5103,55286,20340,7271,5995
HARNETT    3,7085,353643,78767,427,792,180,282,146,13,139.5658,136.8003,142.5879,59570,13125,6915,5716
HAYWOOD    3,7087,355650,82929,375,707,171,279,2658,13,144.352,141.4243,144.7425,46495,18084,11997,4448
HENDERSON  3,7089,353336,82466,382,729,171,279,2153,8,149.982,149.4421,150.312,58580,31525,6274,6154
HERTFORD   3,7091,363502,77013,405,792,172,278,81,6,134.2102,130.8796,134.9169,23368,8707,6034,2842
HOKE       3,7093,349739,79233,430,796,180,282,96,8,132.6958,131.2864,133.3903,20383,8956,3298,2536
HYDE       3,7095,354506,76183,450,785,172,278,2,6,114.4899,111.1439,115.1693,5873,2217,1302,1098
IREDELL    3,7097,357544,80869,404,771,176,270,950,16,148.6011,146.1925,149.5695,82538,25167,14457,6487
JACKSON    3,7099,353441,83198,391,732,171,279,2192,15,131.2298,125.3964,132.1702,25811,5954,5433,3823
JOHNSTON   3,7101,355252,78360,427,792,172,278,146,17,140.3148,136.086,143.4787,70599,12491,8423,7310
JONES      3,7103,350254,77355,450,796,172,278,12,7,118.3194,112.5974,119.7937,9705,2452,1929,1886
LEE        3,7105,354709,79173,393,777,176,270,202,7,139.1284,134.8671,140.009,36718,11479,8261,6154
LENOIR     3,7107,352653,77610,427,798,172,278,82,12,148.2905,147.7551,148.8016,59819,28046,5683,5321
LINCOLN    3,7109,354804,81236,429,791,175,298,830,5,144.2365,142.0449,144.675,42372,18879,9061,6666
MCDOWELL   3,7111,356740,82031,403,761,171,279,1425,10,139.4074,138.2386,140.0911,35135,14501,4941,3546
MACON      3,7113,351627,83379,377,691,171,279,3350,11,131.0949,130.4559,131.9742,20178,8455,1834,1805
MADISON    3,7115,358451,82661,361,730,171,279,2010,8,125.9229,122.2159,127.5192,16827,4776,3408,1926
MARTIN     3,7117,358469,77120,416,795,172,278,20,10,133.8826,131.9491,134.7311,25948,9377,4501,2602
MECKLENBUR 3,7119,352234,80830,421,785,175,298,735,15,182.6421,182.6246,182.6759,404270,314447,11925,9912
MITCHELL   3,7121,359711,82125,403,761,171,279,1425,11,123.6535,118.6457,124.8778,14428,3729,3291,1762
MONTGOMERY 3,7123,353268,79868,421,779,175,298,620,11,130.3231,124.2285,131.3873,22469,5491,5096,3750
MOORE      3,7125,352735,79454,426,788,175,298,548,10,141.7969,137.6901,143.2346,50505,13960,9240,8007
NASH       3,7127,359509,77913,410,788,172,278,205,15,145.3758,141.3731,146.3015,67153,18020,14206,6249
NEW HANOVE 3,7129,342178,77904,464,804,180,282,28,5,157.0518,154.2522,157.4844,103471,44000,26986,13777
NORTHAMPTO 3,7131,364191,77386,405,792,172,278,81,9,127.8887,120.5698,130.3464,22584,4261,4073,3916
ONSLOW     3,7133,347394,77400,450,796,180,282,12,5,159.1689,157.2363,159.4232,112784,54111,23380,18787
ORANGE     3,7135,359774,79081,408,781,158,275,500,7,156.5295,156.2605,156.658,77055,50572,8599,4821
PAMLICO    3,7137,351209,76754,450,796,172,278,12,5,121.9699,115.4689,122.8737,10398,2992,2859,2218
PASQUOTANK 3,7139,362944,76242,423,788,172,278,8,6,138.966,138.0342,139.4825,28462,14297,3910,3591
PENDER     3,7141,345289,77921,456,791,180,282,55,10,128.8415,122.7205,130.4192,22215,4946,4563,3445
PERQUIMANS 3,7143,362081,76447,423,788,172,278,8,5,119.2025,113.3316,120.9009,9486,2580,2064,2026
PERSON     3,7145,363908,78981,407,778,158,275,690,9,139.1352,138.8741,139.6262,29164,15154,2105,2008
PITT       3,7147,355860,77396,423,794,172,278,30,15,151.7089,150.7669,152.4398,90146,34557,11091,6602
POLK       3,7149,352562,82185,432,769,171,279,1075,6,123.9242,118.5798,125.0832,12984,3712,3241,2150
RANDOLPH   3,7151,357637,79814,418,778,176,270,870,20,147.1604,141.9422,148.8056,91728,18745,18249,6319
RICHMOND   3,7153,349434,79740,427,790,175,298,350,7,144.7404,139.6966,145.0161,45481,16043,13319,9117
ROBESON    3,7155,346482,79097,439,790,180,282,132,29,146.4632,145.081,148.4423,101610,23301,8725,6208
ROCKINGHAM 3,7157,364178,79765,401,777,158,275,890,11,148.7641,144.3671,149.9974,83426,22176,18236,8964
ROWAN      3,7159,356251,80520,409,787,176,270,764,14,151.074,147.4131,152.3479,99186,27389,20285,9192
RUTHERFORD 3,7161,353438,81884,411,785,171,279,806,14,142.8675,139.393,144.0139,53787,15709,10648,6270
SAMPSON    3,7163,350149,78378,430,787,180,282,150,19,136.2213,132.9548,138.399,49687,10054,5863,4850
SCOTLAND   3,7165,347842,79475,439,790,180,282,204,4,143.1784,142.1902,143.3558,32273,19070,6330,3651
STANLY     3,7167,353291,80225,421,779,175,298,620,10,140.1651,136.7055,142.046,48517,13039,8631,5490
STOKES     3,7169,363687,80250,401,777,158,275,890,9,138.3074,136.936,139.0516,33086,13249,4927,3533
SURRY      3,7171,364339,80654,383,758,174,275,1090,15,146.1697,145.2748,146.8705,59449,23616,6288,5842
SWAIN      3,7173,354262,83437,371,728,171,279,35,3,131.5639,131.4354,131.5639,10283,9049,1213,21
TRANSYLVAN 3,7175,352256,82743,382,729,171,279,2153,8,134.5496,133.5122,135.1718,23417,10450,3216,2559
TYRRELL    3,7177,358815,76234,425,790,172,278,20,5,111.79,110.348,112.0903,3975,2098,864,477
UNION      3,7179,349958,80544,431,786,175,298,586,9,148.475,146.8063,149.5154,70380,26261,11390,7054
VANCE      3,7181,363285,78400,403,781,158,275,480,8,144.7344,144.4476,144.9498,36748,22300,3260,3090
WAKE       3,7183,357846,78646,405,775,176,270,434,20,167.3304,166.3692,168.4113,301327,101909,28326,26037
WARREN     3,7185,364134,78139,403,781,158,275,480,12,123.6224,121.5829,125.5071,16232,4571,2081,1580
WASHINGTON 3,7187,358564,76643,425,790,172,278,20,4,131.0007,129.2722,131.2192,14801,7789,3589,1883
WATAUGA    3,7189,362264,81686,337,682,174,275,3360,15,134.5004,133.1501,135.8333,31666,10191,3785,2656
WAYNE      3,7191,353666,77995,427,798,172,278,82,12,151.9829,147.0876,152.7659,97054,26778,19293,18005
